key,team,city,state,city2,state2,
AND,Anderson Packers,Anderson,Indiana,,,
ATL,Atlanta Hawks,Atlanta,Georgia,,,
BAL,Baltimore Bullets,Baltimore,Maryland,,,
BLB,Baltimore Bullets,Baltimore,Maryland,,,
BOS,Boston Celtics,Boston,Massachusetts,,,
BRK,Brooklyn Nets,Brookyln,New York,,,
BUF,Buffalo Braves,Buffalo,New York,,,
CAP,Capital Bullets,Washington,District of Columbia,,,
CHA,Charlotte Hornets,Charlotte,North Carolina,,,
CHH,Charlotte Hornets,Charlotte,North Carolina,,,
CHI,Chicago Bulls,Chicago,Illinois,,,
CHO,Charlotte Bobcats,Charlotte,North Carolina,,,
CHP,Chicago Packers,Chicago,Illinois,,,
CHS,Chicago Stags,Chicago,Illinois,,,
CHZ,Chicago Zephyrs,Chicago,Illinois,,,
CIN,Cincinnati Royals,Cincinnati,Ohio,,,
CLE,Clevland Cavaliers,Clevland,Ohio,,,
DAL,Dallas Mavericks,Dallas,Texas,,,
DEN,Denver Nuggets,Denver,Colorado,,,
DET,Detroit Pistons,Detroit,Michigan,,,
DNN,Denver Nuggets,Denver,Colorado,,,
FTW,Fort Wayne Pistons,Fort Wayne,Indiana,,,
GSW,Golden State Warriors,San Francisco,California,,,
HOU,Houston Rockets,Houston,Texas,,,
IND,Indiana Pacers,Indianapolis,Indiana,,,
INO,Indianapolis Olympians,Indianapolis,Indiana,,,
KCK,Kansas City Kings,Kansas City,Missouri,,,
KCO,Kansas City-Omaha Kings,Kansas City,Missouri,Omaha,Nebraska,*The team split their games between 2 cities
LAC,Los Angeles Clippers,Los Angeles,California,,,
LAL,Los Angeles Lakers,Los Angeles,California,,,
MEM,Memphis Grizzlies,Memphis, Tennessee,,,
MIA,Miami Heat,Miami,Florida,,,
MIL,Milwaukee Bucks,Milwaukee,Wisconsin,,,
MIN,Minnesota Timberwolves,Minneapolis,Minnesota,,,
MLH,Milwaukee Hawks,Milwaukee,Wisconsin,,,
MNL,Minneapolis Lakers,Minneapolis,Minnesota,,,
NJN,New Jersey Nets,East Rutherford,New Jersey,,,
NOH,New Orleans Hornets,New Orleans,Louisiana,,,
NOJ,New Orleans Jazz,New Orleans,Louisiana,,,
NOK,New Orleans/Oklahoma City Hornets,Oklahoma City,Oklahoma,New Orleans,Louisiana,*Huricane Katrina happened during this season in New Orleans
NOP,New Orleans Pelicans,New Orleans,Louisiana,,,
NYK,New York Knicks,New York,New York,,,
NYN,New York Knicks,New York,New York,,,
OKC,Oklahoma City Thunder,Oklahoma City,Oklahoma,,,
ORL,Orlando Magic,Orlando,Florida,,,
PHI,Philadelphia 76ers,Philadelphia,Pennsylvania,,,
PHO,Phoenix Suns,Phoenix,Arizona,,,
PHW,Philadelphia Warriors,Philadelphia,Pennsylvania,,,
POR,Portland Trailblazers,Portland,Oregon,,,
ROC,Rochester Royals,Rochester,New York,,,
SAC,Sacremento Kings,Sacremento,California,,,
SAS,San Antonio Spurs,San Antonio,Texas,,,
SDC,San Diego Clippers,San Diego,California,,,
SDR,San Diego Rockets,San Diego,Rockets,,,
SEA,Seattle Supersonics,Seattle,Washington,,,
SFW,San Fransisco Warriors,San Francisco,California,,,
SHE,Sheboygan Red Skins,Sheboygan,Wisconsin,,,
STB,St. Louis Bombers,St. Louis,Missouri,,,
STL,St. Louis Hawks,St. Louis,Missouri,,,
SYR,Syracuse Nationals,Syracuse,New York,,,
TOR,Toronto Raptors,Toronto,Ontario,,,
TRI,Tri-Cities Blackhawks,Moline,Illinois,,,
UTA,Utah Jazz,Salt Lake City,Utah,,,
VAN,Vancouver Grizzlies,Vancouver,British Columbia,,,
WAS,Washington Wizards,Washington,District of Columbia,,,
WAT,Waterloo Hawks,Waterloo,Hawks,,,
WSB,Washington Bullets,Washington,District of Columbia,,,
WSC,Washington Capitols,Washington,District of Columbia,,,
